Event Index;UTC Timestamp;UTC Date and Time;Local Timestamp;Local Timezone;Local Date and Time;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Room ID;Room Order;Task Name;Task Version;branch-huc2;branch-19ea;branch-b8n7;checkpoint-if5t;checkpoint-ezzj;checkpoint-lxys;checkpoint-n8ox;checkpoint-h7in;checkpoint-prqz;checkpoint-l38h;checkpoint-oafw;branch-x43a;randomiser-b8xo;checkpoint-zp1s;checkpoint-zmw5;originalHint;originalResult;participantPosition;participantConfidence;success;trialScore;level;distanceMovedX;distanceMovedY;timeToComplete;actualTrialScore;trialName;tutorialRepeated;timedOut;timedOutCount;reward;totalScore
1;1669816285587;30/11/2022 13:51:25;1669816296893;5.5;30/11/2022 19:21:36;74063;37;task-g9qm;;25575156;2pibu9ll;7565363;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 107.0.0.0;1536x864;1519x864;Space Task Done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;Space Task Done;Social Task Done;-0.00103370084988821;-0.0173373149433514;56.620603474336036;57.33333333333334;1;6;2;20.77922077922078;42.666666666666664;3456;57;spacetask012;;;0;0;6
2;1669816288882;30/11/2022 13:51:28;1669816300841;5.5;30/11/2022 19:21:40;74063;37;task-g9qm;;25575156;2pibu9ll;7565363;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 107.0.0.0;1536x864;1519x864;Space Task Done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;Space Task Done;Social Task Done;-0.101781526675275;-0.0588650139533733;52.44552942270253;48.80000000000001;1;5;2;23.376623376623378;51.199999999999996;2627;49;spacetask012;;;0;0;11
3;1669816293040;30/11/2022 13:51:33;1669816305002;5.5;30/11/2022 19:21:45;74063;37;task-g9qm;;25575156;2pibu9ll;7565363;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 107.0.0.0;1536x864;1519x864;Space Task Done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;Space Task Done;Social Task Done;0.0158374366021125;0.0928341272266133;51.24764737738482;61.60000000000001;1;6;2;38.96103896103897;38.4;2714;62;spacetask012;;;0;0;17
4;1669816297060;30/11/2022 13:51:37;1669816309016;5.5;30/11/2022 19:21:49;74063;37;task-g9qm;;25575156;2pibu9ll;7565363;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 107.0.0.0;1536x864;1519x864;Space Task Done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;Space Task Done;Social Task Done;-0.0391248549754083;0.0581208913072372;55.49434757950692;74.4;1;7;2;31.168831168831172;25.599999999999998;2509;74;spacetask012;;;0;0;24
5;1669816301375;30/11/2022 13:51:41;1669816313339;5.5;30/11/2022 19:21:53;74063;37;task-g9qm;;25575156;2pibu9ll;7565363;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 107.0.0.0;1536x864;1519x864;Space Task Done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;Space Task Done;Social Task Done;0.0399277527434575;-0.156101142013103;53.84615384615373;57.33333333333334;;0;2;45.45454545454547;42.666666666666664;2921;0;spacetask012;;;0;0;24
6;1669816306075;30/11/2022 13:51:46;1669816318048;5.5;30/11/2022 19:21:58;74063;37;task-g9qm;;25575156;2pibu9ll;7565363;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 107.0.0.0;1536x864;1519x864;Space Task Done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;Space Task Done;Social Task Done;-0.0406302501223311;0.0707955798126302;45.62109159421576;40.26666666666668;1;4;2;18.181818181818183;59.73333333333333;3061;40;spacetask012;;;0;0;28
7;1669816310225;30/11/2022 13:51:50;1669816322192;5.5;30/11/2022 19:22:02;74063;37;task-g9qm;;25575156;2pibu9ll;7565363;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 107.0.0.0;1536x864;1519x864;Space Task Done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;Space Task Done;Social Task Done;0.31460888196772;-0.0440591929941641;59.61685155602524;44.533333333333346;1;5;2;19.480519480519483;55.46666666666666;2817;45;spacetask012;;;0;0;33
8;1669816314424;30/11/2022 13:51:54;1669816326403;5.5;30/11/2022 19:22:06;74063;37;task-g9qm;;25575156;2pibu9ll;7565363;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 107.0.0.0;1536x864;1519x864;Space Task Done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;Space Task Done;Social Task Done;0.012016059767646;-0.0491577779327425;47.6923076923076;61.60000000000001;1;6;2;40.259740259740276;38.4;2734;62;spacetask012;;;0;0;39
9;1669816317644;30/11/2022 13:51:57;1669816329617;5.5;30/11/2022 19:22:09;74063;37;task-g9qm;;25575156;2pibu9ll;7565363;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 107.0.0.0;1536x864;1519x864;Space Task Done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;Space Task Done;Social Task Done;0.131582620557324;-0.111453799837956;51.157292080303264;74.4;;0;2;10.389610389610388;25.599999999999998;2046;0;spacetask012;;;0;0;39
10;1669816321253;30/11/2022 13:52:01;1669816333216;5.5;30/11/2022 19:22:13;74063;37;task-g9qm;;25575156;2pibu9ll;7565363;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 107.0.0.0;1536x864;1519x864;Space Task Done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular__ever_yes;current_regular_use_no;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Social Task First;Space Task Done;Social Task Done;-0.0695711223544351;-0.0466173093359548;53.22294676128274;74.4;1;7;2;10.389610389610388;25.599999999999998;2356;74;spacetask012;;;0;0;46
