Event Index;UTC Timestamp;UTC Date and Time;Local Timestamp;Local Timezone;Local Date and Time;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Room ID;Room Order;Task Name;Task Version;branch-huc2;branch-19ea;branch-b8n7;checkpoint-if5t;checkpoint-ezzj;checkpoint-lxys;checkpoint-n8ox;checkpoint-h7in;checkpoint-prqz;checkpoint-l38h;checkpoint-oafw;branch-x43a;randomiser-b8xo;checkpoint-zp1s;checkpoint-zmw5;originalHint;originalResult;participantPosition;participantConfidence;success;trialScore;level;distanceMovedX;distanceMovedY;timeToComplete;actualTrialScore;trialName;tutorialRepeated;timedOut;timedOutCount;reward;totalScore
1;1677887052455;03/03/2023 23:44:12;1677887052164;0;03/03/2023 23:44:12;74063;39;task-vigd;;27795728;tsuwlbqz;8259000;;live;;;mobile;Apple iPhone;iOS 16.2;Safari 16.2;414x896;800x292;CEQ__cannabis_user_done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Space Task First;;;-0.00103370084988821;-0.0173373149433514;41.97740668605082;88.88888888888889;;0;2;20.779220779220786;11.11111111111111;4724;0;spacetask012;;;0;0;0
2;1677887056273;03/03/2023 23:44:16;1677887056187;0;03/03/2023 23:44:16;74063;39;task-vigd;;27795728;tsuwlbqz;8259000;;live;;;mobile;Apple iPhone;iOS 16.2;Safari 16.2;414x896;800x292;CEQ__cannabis_user_done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Space Task First;;;-0.101781526675275;-0.0588650139533733;39.70692455133788;73.33333333333334;1;7;2;10.38961038961039;26.66666666666666;2818;73;spacetask012;;;0;0;7
3;1677887060505;03/03/2023 23:44:20;1677887060420;0;03/03/2023 23:44:20;74063;39;task-vigd;;27795728;tsuwlbqz;8259000;;live;;;mobile;Apple iPhone;iOS 16.2;Safari 16.2;414x896;800x292;CEQ__cannabis_user_done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Space Task First;;;0.0158374366021125;0.0928341272266133;31.00673481209652;73.33333333333334;;0;2;22.077922077922086;26.66666666666666;3306;0;spacetask012;;;0;0;7
4;1677887064743;03/03/2023 23:44:24;1677887064646;0;03/03/2023 23:44:24;74063;39;task-vigd;;27795728;tsuwlbqz;8259000;;live;;;mobile;Apple iPhone;iOS 16.2;Safari 16.2;414x896;800x292;CEQ__cannabis_user_done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Space Task First;;;-0.0391248549754083;0.0581208913072372;75.38461538461553;66.66666666666669;;0;2;63.636363636363654;33.33333333333333;3389;0;spacetask012;;;0;0;7
5;1677887067762;03/03/2023 23:44:27;1677887067696;0;03/03/2023 23:44:27;74063;39;task-vigd;;27795728;tsuwlbqz;8259000;;live;;;mobile;Apple iPhone;iOS 16.2;Safari 16.2;414x896;800x292;CEQ__cannabis_user_done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Space Task First;;;0.0399277527434575;-0.156101142013103;46.46135275133278;80;;0;2;10.38961038961039;19.999999999999996;1954;0;spacetask012;;;0;0;7
6;1677887071337;03/03/2023 23:44:31;1677887071264;0;03/03/2023 23:44:31;74063;39;task-vigd;;27795728;tsuwlbqz;8259000;;live;;;mobile;Apple iPhone;iOS 16.2;Safari 16.2;414x896;800x292;CEQ__cannabis_user_done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Space Task First;;;-0.0406302501223311;0.0707955798126302;20.962590217137006;68.8888888888889;;0;2;16.883116883116887;31.111111111111104;2745;0;spacetask012;;;0;0;7
7;1677887074907;03/03/2023 23:44:34;1677887074836;0;03/03/2023 23:44:34;74063;39;task-vigd;;27795728;tsuwlbqz;8259000;;live;;;mobile;Apple iPhone;iOS 16.2;Safari 16.2;414x896;800x292;CEQ__cannabis_user_done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Space Task First;;;0.31460888196772;-0.0440591929941641;33.846153846153875;73.33333333333334;;0;2;28.57142857142858;26.66666666666666;2503;0;spacetask012;;;0;0;7
8;1677887078775;03/03/2023 23:44:38;1677887078703;0;03/03/2023 23:44:38;74063;39;task-vigd;;27795728;tsuwlbqz;8259000;;live;;;mobile;Apple iPhone;iOS 16.2;Safari 16.2;414x896;800x292;CEQ__cannabis_user_done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Space Task First;;;0.012016059767646;-0.0491577779327425;48.65922130506959;62.222222222222236;1;6;2;37.662337662337656;37.77777777777777;3071;62;spacetask012;;;0;0;13
9;1677887081501;03/03/2023 23:44:41;1677887081435;0;03/03/2023 23:44:41;74063;39;task-vigd;;27795728;tsuwlbqz;8259000;;live;;;mobile;Apple iPhone;iOS 16.2;Safari 16.2;414x896;800x292;CEQ__cannabis_user_done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Space Task First;;;0.131582620557324;-0.111453799837956;47.27371270310381;73.33333333333334;1;7;2;18.181818181818183;26.66666666666666;1835;73;spacetask012;;;0;0;20
10;1677887086281;03/03/2023 23:44:46;1677887086202;0;03/03/2023 23:44:46;74063;39;task-vigd;;27795728;tsuwlbqz;8259000;;live;;;mobile;Apple iPhone;iOS 16.2;Safari 16.2;414x896;800x292;CEQ__cannabis_user_done;;;SpaceTaskJuly2022_CANTRIPS;2;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;;;right_age;Space Task First;;;-0.0695711223544351;-0.0466173093359548;27.692307692307704;73.33333333333334;;0;2;49.350649350649334;26.66666666666666;4007;0;spacetask012;;;0;0;20
