Event Index;UTC Timestamp;UTC Date and Time;Local Timestamp;Local Timezone;Local Date and Time;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Room ID;Room Order;Task Name;Task Version;branch-huc2;branch-19ea;branch-b8n7;checkpoint-if5t;checkpoint-ezzj;checkpoint-lxys;checkpoint-n8ox;checkpoint-h7in;checkpoint-prqz;checkpoint-l38h;checkpoint-oafw;branch-x43a;randomiser-b8xo;checkpoint-zp1s;checkpoint-zmw5;originalHint;originalResult;participantPosition;participantConfidence;success;trialScore;level;distanceMovedX;distanceMovedY;timeToComplete;actualTrialScore;trialName;tutorialRepeated;timedOut;timedOutCount;reward;totalScore
1;1652114474937;09/05/2022 16:41:14;1652114474868;1;09/05/2022 17:41:14;74063;27;task-6sm9;;21775250;jbpfuu7d;6436182;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 99.0.4844.83;1440x900;1440x900;Space Task Done;;;SpaceTaskSimple;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;Space Task Done;Social Task Done;-0.0695711223544351;-0.0466173093359548;46.15384615384615;56;1;6;2;38.961038961038966;44;2537;56;spacetask012reversed;;;0;0;6
2;1652114479954;09/05/2022 16:41:19;1652114479979;1;09/05/2022 17:41:19;74063;27;task-6sm9;;21775250;jbpfuu7d;6436182;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 99.0.4844.83;1440x900;1440x900;Space Task Done;;;SpaceTaskSimple;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;Space Task Done;Social Task Done;0.131582620557324;-0.111453799837956;88.82246706823305;56;;0;2;11.688311688311687;44;2304;0;spacetask012reversed;;;0;0;6
3;1652114484080;09/05/2022 16:41:24;1652114484078;1;09/05/2022 17:41:24;74063;27;task-6sm9;;21775250;jbpfuu7d;6436182;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 99.0.4844.83;1440x900;1440x900;Space Task Done;;;SpaceTaskSimple;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;Space Task Done;Social Task Done;0.012016059767646;-0.0491577779327425;26.153846153846157;10;1;1;2;22.07792207792208;88;2684;10;spacetask012reversed;;;0;0;7
4;1652114487801;09/05/2022 16:41:27;1652114487813;1;09/05/2022 17:41:27;74063;27;task-6sm9;;21775250;jbpfuu7d;6436182;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 99.0.4844.83;1440x900;1440x900;Space Task Done;;;SpaceTaskSimple;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;Space Task Done;Social Task Done;0.31460888196772;-0.0440591929941641;41.06030060486866;44;1;4;2;28.57142857142857;56;2283;44;spacetask012reversed;;;0;0;11
5;1652114491329;09/05/2022 16:41:31;1652114491345;1;09/05/2022 17:41:31;74063;27;task-6sm9;;21775250;jbpfuu7d;6436182;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 99.0.4844.83;1440x900;1440x900;Space Task Done;;;SpaceTaskSimple;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;Space Task Done;Social Task Done;-0.0406302501223311;0.0707955798126302;59.58665487553888;68;1;7;2;46.75324675324675;32;2093;68;spacetask012reversed;;;0;0;18
6;1652114496210;09/05/2022 16:41:36;1652114496234;1;09/05/2022 17:41:36;74063;27;task-6sm9;;21775250;jbpfuu7d;6436182;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 99.0.4844.83;1440x900;1440x900;Space Task Done;;;SpaceTaskSimple;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;Space Task Done;Social Task Done;0.0399277527434575;-0.156101142013103;18.255842202730836;44;;0;2;29.87012987012987;56;2766;0;spacetask012reversed;;;0;0;18
7;1652114500983;09/05/2022 16:41:40;1652114501013;1;09/05/2022 17:41:41;74063;27;task-6sm9;;21775250;jbpfuu7d;6436182;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 99.0.4844.83;1440x900;1440x900;Space Task Done;;;SpaceTaskSimple;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;Space Task Done;Social Task Done;-0.0391248549754083;0.0581208913072372;70.76923076923077;48;;0;2;33.76623376623377;52;2670;0;spacetask012reversed;;;0;0;18
8;1652114504486;09/05/2022 16:41:44;1652114504512;1;09/05/2022 17:41:44;74063;27;task-6sm9;;21775250;jbpfuu7d;6436182;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 99.0.4844.83;1440x900;1440x900;Space Task Done;;;SpaceTaskSimple;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;Space Task Done;Social Task Done;0.0158374366021125;0.0928341272266133;51.820486747115716;68;1;7;2;40.25974025974026;32;1977;68;spacetask012reversed;;;0;0;25
9;1652114507450;09/05/2022 16:41:47;1652114507468;1;09/05/2022 17:41:47;74063;27;task-6sm9;;21775250;jbpfuu7d;6436182;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 99.0.4844.83;1440x900;1440x900;Space Task Done;;;SpaceTaskSimple;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;Space Task Done;Social Task Done;-0.101781526675275;-0.0588650139533733;37.706458308212035;40;1;4;2;31.16883116883117;60;1779;40;spacetask012reversed;;;0;0;29
10;1652114510558;09/05/2022 16:41:50;1652114510579;1;09/05/2022 17:41:50;74063;27;task-6sm9;;21775250;jbpfuu7d;6436182;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 99.0.4844.83;1440x900;1440x900;Space Task Done;;;SpaceTaskSimple;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;Space Task Done;Social Task Done;-0.00103370084988821;-0.0173373149433514;25.46984714296075;60;;0;2;49.35064935064935;40;2193;0;spacetask012reversed;;;0;0;29
11;1652114530632;09/05/2022 16:42:10;1652114530663;1;09/05/2022 17:42:10;74063;27;task-6sm9;;21775250;jbpfuu7d;6436182;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 99.0.4844.83;1440x900;1440x900;Space Task Done;;;SpaceTaskSimple;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;Space Task Done;Social Task Done;-0.192141871986294;0.0767640870122194;37.67149593031065;76;;0;3;27.27272727272727;24;1957;0;spacetask012reversed;;;0;0;29
12;1652114533867;09/05/2022 16:42:13;1652114533897;1;09/05/2022 17:42:13;74063;27;task-6sm9;;21775250;jbpfuu7d;6436182;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 99.0.4844.83;1440x900;1440x900;Space Task Done;;;SpaceTaskSimple;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;Space Task Done;Social Task Done;-0.172164595880708;-0.0768770637087761;56.92307692307692;56;;0;3;36.36363636363637;44;2222;0;spacetask012reversed;;;0;0;29
13;1652114536626;09/05/2022 16:42:16;1652114536647;1;09/05/2022 17:42:16;74063;27;task-6sm9;;21775250;jbpfuu7d;6436182;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 99.0.4844.83;1440x900;1440x900;Space Task Done;;;SpaceTaskSimple;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;Space Task Done;Social Task Done;0.0674226390480751;0.0307697622292413;55.38461538461539;100;1;10;3;37.66233766233766;0;1418;100;spacetask012reversed;;;0;0;39
14;1652114540469;09/05/2022 16:42:20;1652114540486;1;09/05/2022 17:42:20;74063;27;task-6sm9;;21775250;jbpfuu7d;6436182;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 99.0.4844.83;1440x900;1440x900;Space Task Done;;;SpaceTaskSimple;4;cannabis_no;;;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;CEQ_done_no_cannabis;;;;right_age;Social Task First;Space Task Done;Social Task Done;-0.00834668446564994;0.0103610681963258;31.398201513665697;100;;0;3;37.66233766233766;0;2764;0;spacetask012reversed;;;0;0;39
