Event Index;UTC Timestamp;UTC Date and Time;Local Timestamp;Local Timezone;Local Date and Time;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Room ID;Room Order;Task Name;Task Version;branch-huc2;branch-19ea;branch-b8n7;checkpoint-if5t;checkpoint-ezzj;checkpoint-lxys;checkpoint-n8ox;checkpoint-h7in;checkpoint-prqz;checkpoint-l38h;checkpoint-oafw;branch-x43a;randomiser-b8xo;checkpoint-zp1s;checkpoint-zmw5;originalHint;originalResult;participantPosition;participantConfidence;success;trialScore;level;distanceMovedX;distanceMovedY;timeToComplete;actualTrialScore;trialName;tutorialRepeated;timedOut;timedOutCount;reward;totalScore
1;1650647261071;22/04/2022 17:07:41;1650647260766;1;22/04/2022 18:07:40;74063;24;task-uyaf;;21439235;5gddpa25;6341804;;live;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.3;1440x900;1440x900;Space_Task_Done;;;SpaceTaskSimple;3;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;;right_age;Space Task First;;;-0.0695711223544351;-0.0466173093359548;60.67819835628041;80;;0;2;25.97402597402597;20;3141;0;spacetask012reversed;;;0;0;0
2;1650647265430;22/04/2022 17:07:45;1650647265312;1;22/04/2022 18:07:45;74063;24;task-uyaf;;21439235;5gddpa25;6341804;;live;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.3;1440x900;1440x900;Space_Task_Done;;;SpaceTaskSimple;3;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;;right_age;Space Task First;;;0.131582620557324;-0.111453799837956;60.01955747538118;52;;0;2;29.87012987012987;48;2919;0;spacetask012reversed;;;0;0;0
3;1650647269982;22/04/2022 17:07:49;1650647269879;1;22/04/2022 18:07:49;74063;24;task-uyaf;;21439235;5gddpa25;6341804;;live;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.3;1440x900;1440x900;Space_Task_Done;;;SpaceTaskSimple;3;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;;right_age;Space Task First;;;0.012016059767646;-0.0491577779327425;36.862059471627326;60;1;6;2;51.94805194805194;40;2904;60;spacetask012reversed;;;0;0;6
4;1650647274737;22/04/2022 17:07:54;1650647274633;1;22/04/2022 18:07:54;74063;24;task-uyaf;;21439235;5gddpa25;6341804;;live;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.3;1440x900;1440x900;Space_Task_Done;;;SpaceTaskSimple;3;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;;right_age;Space Task First;;;0.31460888196772;-0.0440591929941641;33.527206427405936;60;;0;2;50.649350649350644;40;3205;0;spacetask012reversed;;;0;0;6
5;1650647280480;22/04/2022 17:08:00;1650647280362;1;22/04/2022 18:08:00;74063;24;task-uyaf;;21439235;5gddpa25;6341804;;live;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.3;1440x900;1440x900;Space_Task_Done;;;SpaceTaskSimple;3;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;;right_age;Space Task First;;;-0.0406302501223311;0.0707955798126302;41.018649189997404;32;1;3;2;58.44155844155844;68;3592;32;spacetask012reversed;;;0;0;9
6;1650647286529;22/04/2022 17:08:06;1650647286422;1;22/04/2022 18:08:06;74063;24;task-uyaf;;21439235;5gddpa25;6341804;;live;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.3;1440x900;1440x900;Space_Task_Done;;;SpaceTaskSimple;3;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;;right_age;Space Task First;;;0.0399277527434575;-0.156101142013103;47.28779109366321;10;1;1;2;41.55844155844156;88;4414;10;spacetask012reversed;;;0;0;10
7;1650647290927;22/04/2022 17:08:10;1650647290826;1;22/04/2022 18:08:10;74063;24;task-uyaf;;21439235;5gddpa25;6341804;;live;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.3;1440x900;1440x900;Space_Task_Done;;;SpaceTaskSimple;3;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;;right_age;Space Task First;;;-0.0391248549754083;0.0581208913072372;39.095104396840426;10;1;1;2;23.376623376623375;88;2758;10;spacetask012reversed;;;0;0;11
8;1650647295990;22/04/2022 17:08:15;1650647295881;1;22/04/2022 18:08:15;74063;24;task-uyaf;;21439235;5gddpa25;6341804;;live;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.3;1440x900;1440x900;Space_Task_Done;;;SpaceTaskSimple;3;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;;right_age;Space Task First;;;0.0158374366021125;0.0928341272266133;53.84615384615385;10;1;1;2;38.961038961038966;88;3457;10;spacetask012reversed;;;0;0;12
9;1650647300017;22/04/2022 17:08:20;1650647299913;1;22/04/2022 18:08:19;74063;24;task-uyaf;;21439235;5gddpa25;6341804;;live;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.3;1440x900;1440x900;Space_Task_Done;;;SpaceTaskSimple;3;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;;right_age;Space Task First;;;-0.101781526675275;-0.0588650139533733;50.70108529533234;10;1;1;2;9.090909090909092;88;2316;10;spacetask012reversed;;;0;0;13
10;1650647305612;22/04/2022 17:08:25;1650647305514;1;22/04/2022 18:08:25;74063;24;task-uyaf;;21439235;5gddpa25;6341804;;live;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.3;1440x900;1440x900;Space_Task_Done;;;SpaceTaskSimple;3;cannabis_yes;regular__ever_yes;current_regular_use_yes;Consent_Done;E-Mail_Done;Demographics Done;Cape-15_Done;;CEQ__cannabis_user_done;Space_Task_Done;;right_age;Space Task First;;;-0.00103370084988821;-0.0173373149433514;53.710672649969936;44;1;4;2;11.688311688311687;56;2506;44;spacetask012reversed;;;0;0;17
